#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
19517,3398,6938,109624,112798,-,-,ID2,TCF12,GIG8|ID2A|ID2H|bHLHb26,CRS3|HEB|HTF4|HsT17266|bHLHb20,Two-hybrid,physical,Langlands K (1997),PUBMED:9242638,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q02363,Q53T66,NP_002157,Q99081,A0A024R5T1|A0A024R5Z0,NP_001309093|NP_001309090|NP_003196|NP_001309087|NP_001293149|NP_001293148|NP_001309080|NP_001309081|NP_001309091|NP_001309083|NP_001309085|NP_001309086|NP_001309094|NP_001309088|NP_996920|NP_996923|NP_996921|NP_996919,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19520,6925,3398,112787,109624,-,-,TCF4,ID2,E2-2|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19,GIG8|ID2A|ID2H|bHLHb26,Two-hybrid,physical,Langlands K (1997),PUBMED:9242638,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P15884,A0A024R2C0|E9PH57|H3BTP3|B3KVA4,NP_001077431|NP_001230165|NP_001293136|NP_001293137|NP_001317533|NP_003190|NP_001230160|NP_001230155|NP_001230157|NP_001230156|NP_001230159|NP_001230161|NP_001230162|NP_001230163|NP_001230164|NP_001317534,Q02363,Q53T66,NP_002157,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19576,5193,5830,111216,111788,-,-,PEX12,PEX5,PAF-3|PBD3A,PBD2A|PBD2B|PTS1-BP|PTS1R|PXR1,Two-hybrid,physical,Chang CC (1999),PUBMED:10562279,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O00623,-,NP_000277,P50542,B4DR50|B4E0T2,NP_001338064|NP_001338059|NP_001338057|NP_001338056|NP_001338055|NP_001338053|NP_001361574|NP_001361575|NP_000310|NP_001361576|NP_001361577|NP_001338068|NP_001338069|NP_001287718|NP_001338062|NP_001338063|NP_001338060|NP_001338061|NP_001338066|NP_001338067|NP_001361578|NP_001338065|NP_001124495|NP_001124496|NP_001124497|NP_001124498,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19577,5193,5830,111216,111788,-,-,PEX12,PEX5,PAF-3|PBD3A,PBD2A|PBD2B|PTS1-BP|PTS1R|PXR1,Two-hybrid,physical,Okumoto K (2000),PUBMED:10837480,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O00623,-,NP_000277,P50542,B4DR50|B4E0T2,NP_001338064|NP_001338059|NP_001338057|NP_001338056|NP_001338055|NP_001338053|NP_001361574|NP_001361575|NP_000310|NP_001361576|NP_001361577|NP_001338068|NP_001338069|NP_001287718|NP_001338062|NP_001338063|NP_001338060|NP_001338061|NP_001338066|NP_001338067|NP_001361578|NP_001338065|NP_001124495|NP_001124496|NP_001124497|NP_001124498,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19581,5194,5830,111217,111788,-,-,PEX13,PEX5,NALD|PBD11A|PBD11B|ZWS,PBD2A|PBD2B|PTS1-BP|PTS1R|PXR1,Two-hybrid,physical,Gould SJ (1996),PUBMED:8858165,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q92968,-,NP_002609,P50542,B4DR50|B4E0T2,NP_001338064|NP_001338059|NP_001338057|NP_001338056|NP_001338055|NP_001338053|NP_001361574|NP_001361575|NP_000310|NP_001361576|NP_001361577|NP_001338068|NP_001338069|NP_001287718|NP_001338062|NP_001338063|NP_001338060|NP_001338061|NP_001338066|NP_001338067|NP_001361578|NP_001338065|NP_001124495|NP_001124496|NP_001124497|NP_001124498,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19671,23647,382,117174,106877,-,-,ARFIP2,ARF6,POR1,-,Two-hybrid,physical,D'Souza-Schorey C (1997),PUBMED:9312003,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P53365,B4DUZ3|B4DXH2|A0A087X1E4,NP_036534|NP_001229785|NP_001229784|NP_001229783,P62330,-,NP_001654,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19683,22916,4686,116578,110766,PIG55,RP11-546O6.1,NCBP2,NCBP1,CBC2|CBP20|NIP1,CBP80|NCBP|Sto1,Two-hybrid,physical,Kataoka N (1995),PUBMED:7478990,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P52298,-,NP_001294965|NP_001036005|NP_031388,Q09161,A0A024R179,NP_002477|NP_001338435|NP_001338436|NP_001338433|NP_001338434,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19737,11243,4780,116405,110852,RP11-54H19.4,-,PMF1,NFE2L2,-,NRF2,Two-hybrid,physical,Wang Y (1999),PUBMED:10419538,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q6P1K2,-,NP_001186582|NP_001186583|NP_009152,Q16236,-,NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19740,9451,4780,114840,110852,-,-,EIF2AK3,NFE2L2,PEK|PERK|WRS,NRF2,Two-hybrid,physical,Cullinan SB (2003),PUBMED:14517290,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9NZJ5,B3KY45,NP_004827|NP_001300844,Q16236,-,NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19746,51691,3508,119679,109728,-,-,LSM8,IGHMBP2,NAA38,CATF1|HCSA|HMN6|SMARD1|SMUBP2|ZFAND7,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,O95777,A4D0W0,NP_057284,P38935,-,NP_002171,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19754,1742,3761,108086,109963,-,RP3-434P1.2,DLG4,KCNJ4,PSD95|SAP-90|SAP90,HIR|HIRK2|HRK1|IRK-3|IRK3|Kir2.3,Two-hybrid,physical,Nehring RB (2000),PUBMED:10627592,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P78352,B9EGL1|B7Z647,NP_001308003|NP_001308006|NP_001356495|NP_001308004|NP_001122299|NP_001308005|NP_001356,P48050,A0A024R1L8|Q58F07,NP_004972|NP_690607,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19793,4690,2047,110770,108361,-,-,NCK1,EPHB1,NCK|NCKalpha|nck-1,ELK|EPHT2|Hek6|NET,Two-hybrid,physical,Stein E (1998),PUBMED:9430661,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P16333,-,NP_001278928|NP_001177725|NP_006144,P54762,-,NP_004432,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19815,50488,4690,119075,110770,-,-,MINK1,NCK1,B55|MAP4K6|MINK|YSK2|ZC3|hMINK|hMINKbeta,NCK|NCKalpha|nck-1,Two-hybrid,physical,Hu Y (2004),PUBMED:15469942,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q8N4C8,-,NP_722549|NP_733763|NP_001020108|NP_056531|NP_001308165,P16333,-,NP_001278928|NP_001177725|NP_006144,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19879,5965,3840,111897,110038,-,-,RECQL,KPNA4,RECQL1|RecQ1,IPOA3|QIP1|SRP3,Two-hybrid,physical,Seki T (1997),PUBMED:9168958,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P46063,A0A024RAV2,NP_002898|NP_116559,O00629,-,NP_002259,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19881,5965,3838,111897,110036,-,-,RECQL,KPNA2,RECQL1|RecQ1,IPOA1|QIP2|RCH1|SRP1alpha,Two-hybrid,physical,Seki T (1997),PUBMED:9168958,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P46063,A0A024RAV2,NP_002898|NP_116559,P52292,Q7Z726,NP_001307540|NP_002257,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19891,2066,1742,108378,108086,-,-,ERBB4,DLG4,ALS19|HER4|p180erbB4,PSD95|SAP-90|SAP90,Two-hybrid,physical,Garcia RA (2000),PUBMED:10725395,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15303,-,NP_005226|NP_001036064,P78352,B9EGL1|B7Z647,NP_001308003|NP_001308006|NP_001356495|NP_001308004|NP_001122299|NP_001308005|NP_001356,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19901,2066,10413,108378,115684,-,-,ERBB4,YAP1,ALS19|HER4|p180erbB4,COB1|YAP|YAP2|YAP65|YKI,Two-hybrid,physical,Omerovic J (2004),PUBMED:15023535,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15303,-,NP_005226|NP_001036064,P46937,A0A024R3E4|Q86T74|K0KVU2,NP_001269030|NP_001181974|NP_001123617|NP_001269026|NP_001269029|NP_001269028|NP_001269027|NP_006097|NP_001181973,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19906,2066,1740,108378,108084,-,-,ERBB4,DLG2,ALS19|HER4|p180erbB4,PPP1R58|PSD-93|PSD93|chapsyn-110,Two-hybrid,physical,Garcia RA (2000),PUBMED:10725395,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15303,-,NP_005226|NP_001036064,Q15700,B7Z2T4,NP_001287912|NP_001193698|NP_001364901|NP_001364900|NP_001338203|NP_001364902|NP_001364903|NP_001364904|NP_001364905|NP_001364906|NP_001338205|NP_001364909|NP_001338204|NP_001364896|NP_001364897|NP_001364895|NP_001136171|NP_001136172|NP_001355|NP_001364899|NP_001136174|NP_001364912|NP_001364911,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19931,8554,6772,114124,112649,-,-,PIAS1,STAT1,DDXBP1|GBP|GU/RH-II|ZMIZ3,CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91,Two-hybrid,physical,Liao J (2000),PUBMED:10805787,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O75925,Q1XBU8,NP_001307616|NP_057250,P42224,-,NP_001371818|NP_001371820|NP_001371809|NP_001371814|NP_001371815|NP_001371816|NP_001371817|NP_644671|NP_009330|NP_001371812|NP_001371813|NP_001371811|NP_001371810|NP_001371819,-,-,-,-,-,-,Homo sapiens,Homo sapiens
19979,9261,6464,114683,112361,-,RP11-307C12.1,MAPKAPK2,SHC1,MAPKAP-K2|MK-2|MK2,SHC|SHCA,Two-hybrid,physical,Yannoni YM (2004),PUBMED:15094067,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P49137,-,NP_004750|NP_116584,P29353,-,NP_001189788|NP_001123512|NP_001123513|NP_892113|NP_003020,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20054,6286,6286,112194,112194,-,-,S100P,S100P,MIG9,MIG9,Two-hybrid,physical,Koltzscher M (2000),PUBMED:10924150,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P25815,-,NP_005971,P25815,-,NP_005971,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20213,1742,3759,108086,109961,-,-,DLG4,KCNJ2,PSD95|SAP-90|SAP90,ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3,Two-hybrid,physical,Nehring RB (2000),PUBMED:10627592,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P78352,B9EGL1|B7Z647,NP_001308003|NP_001308006|NP_001356495|NP_001308004|NP_001122299|NP_001308005|NP_001356,P63252,-,NP_000882,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20220,4063,1173,110241,107587,RP11-312J18.1,-,LY9,AP2M1,CD229|SLAMF3|hly9|mLY9,AP50|CLAPM1|mu2,Two-hybrid,physical,Del Valle JM (2003),PUBMED:12621057,9606,9606,Low Throughput,-,-,three hybrid,-,BIOGRID,Q9HBG7,Q0VAI0|Q05CA2|Q5VYH9,NP_002339|NP_001248385|NP_001028839|NP_001248386,Q96CW1,-,NP_001020376|NP_001298127|NP_004059,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20246,84687,7074,124202,112930,-,-,PPP1R9B,TIAM1,PPP1R6|PPP1R9|SPINO|Spn,-,Two-hybrid,physical,Buchsbaum RJ (2003),PUBMED:12531897,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q96SB3,D3DTX6,NP_115984,Q13009,-,NP_003244,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20260,5725,3191,111697,109432,-,P/OKcl.14,PTBP1,HNRNPL,HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB,HNRPL|hnRNP-L,Two-hybrid,physical,Hahm B (1998),PUBMED:9563502,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P26599,-,NP_002810|NP_114368|NP_114367,P14866,Q6NTA2,NP_001524|NP_001005335|NP_001372580,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20320,3430,9111,109656,114561,-,-,IFI35,NMI,IFP35,-,Two-hybrid,physical,Chen J (2000),PUBMED:10950963,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P80217,-,NP_005524,Q13287,Q8WTW2,NP_004679,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20343,6854,6854,112720,112720,-,-,SYN2,SYN2,SYNII,SYNII,Two-hybrid,physical,Hosaka M (1999),PUBMED:10358015,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q92777,Q86VA8|Q59GM1|B3KRB3|A0A087X2E3|A0A087WW96,NP_598328|NP_003169,Q92777,Q86VA8|Q59GM1|B3KRB3|A0A087X2E3|A0A087WW96,NP_598328|NP_003169,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20416,5664,30818,111643,119042,-,-,PSEN2,KCNIP3,AD3L|AD4|CMD1V|PS2|STM2,CSEN|DREAM|KCHIP3,Two-hybrid,physical,Buxbaum JD (1998),PUBMED:9771752,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P49810,-,NP_036618|NP_000438,Q9Y2W7,A0A024RE22,NP_001030086|NP_038462,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20454,7270,284119,113121,129767,-,FKSG13,TTF1,PTRF,TTF-1|TTF-I,CAVIN|CAVIN1|CGL4|cavin-1,Two-hybrid,physical,Jansa P (1998),PUBMED:9582279,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15361,A0A024R8C1|A0A087WY09,NP_031370|NP_001192225,Q6NZI2,-,NP_036364,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20459,1027,10762,107461,115982,-,CTA-268H5.7,CDKN1B,NUP50,CDKN4|KIP1|MEN1B|MEN4|P27KIP1,NPAP60|NPAP60L,Two-hybrid,physical,Smitherman M (2000),PUBMED:10891500,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P46527,Q6I9V6,NP_004055,Q9UKX7,A0A024R4X7,NP_009103|NP_705931,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20512,3984,659,110172,107127,-,-,LIMK1,BMPR2,LIMK|LIMK-1,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,Two-hybrid,physical,Foletta VC (2003),PUBMED:12963706,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P53667,-,NP_001191355|NP_002305,Q13873,-,NP_001195,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20577,8087,26999,113760,117945,-,-,FXR1,CYFIP2,FXR1P,PIR121,Two-hybrid,physical,Schenck A (2001),PUBMED:11438699,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P51114,-,NP_001350811|NP_005078|NP_001013456|NP_001013457,Q96F07,B7Z8N7|E7EVJ5,NP_001032410|NP_001278650|NP_001278651|NP_001032409|NP_055191,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20601,3636,10580,109848,115831,-,RP11-476E15.1,INPPL1,SORBS1,OPSMD|SHIP2,CAP|FLAF2|R85FL|SH3D5|SH3P12|SORB1,Two-hybrid,physical,Vandenbroere I (2003),PUBMED:12504111,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O15357,-,NP_001558,Q9BX66,B4DTX5,NP_001371384|NP_001371385|NP_001371386|NP_001371387|NP_001371380|NP_001371381|NP_001371382|NP_001371383|NP_001371388|NP_056200|NP_001371389|NP_001364126|NP_001364127|NP_001030128|NP_001030129|NP_001030126|NP_001030127|NP_001364128|NP_001364129|NP_079267|NP_006425|NP_001371379|NP_001371378|NP_001371394|NP_001371393|NP_001371392|NP_001371391|NP_001371390|NP_001371377|NP_001371376|NP_001277223|NP_001277226|NP_001277227|NP_001277224|NP_001277225|NP_001364131|NP_001364130|NP_001364133|NP_001364132|NP_001364135|NP_001364134|NP_001364137|NP_001364136|NP_001364138,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20626,9612,23013,114974,116655,-,RP1-134O19.1,NCOR2,SPEN,CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1,HIAA0929|MINT|RBM15C|SHARP,Two-hybrid,physical,Shi Y (2001),PUBMED:11331609,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9Y618,C9JFD3|C9J0Q5|C9JE98,NP_001070729|NP_006303|NP_001193583,Q96T58,-,NP_055816,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20653,9612,7704,114974,113498,-,-,NCOR2,ZBTB16,CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1,PLZF|ZNF145,Two-hybrid,physical,Takahashi S (2004),PUBMED:14982881,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9Y618,C9JFD3|C9J0Q5|C9JE98,NP_001070729|NP_006303|NP_001193583,Q05516,A0A024R3C6,NP_001018011|NP_005997,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20702,1028,3984,107462,110172,-,-,CDKN1C,LIMK1,BWCR|BWS|KIP2|WBS|p57|p57Kip2,LIMK|LIMK-1,Two-hybrid,physical,Yokoo T (2003),PUBMED:14530263,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P49918,-,NP_001116103|NP_000067|NP_001116102,P53667,-,NP_001191355|NP_002305,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20768,7357,6252,113204,112165,-,-,UGCG,RTN1,GCS|GLCT1,NSP,Two-hybrid,physical,Di Sano F (2003),PUBMED:12873973,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q16739,A0A024R157,NP_003349,Q16799,A8K3B9,NP_996734|NP_066959,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20886,871,56893,107318,121223,PIG14,RP11-336K24.8,SERPINH1,UBQLN4,AsTP3|CBP1|CBP2|HSP47|OI10|PPROM|RA-A47|SERPINH2|gp46,A1U|A1Up|C1orf6|CIP75|UBIN,Two-hybrid,physical,Matsuda M (2001),PUBMED:11162551,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P50454,A0A024R5K8|A8K259,NP_001226|NP_001193943,Q9NRR5,-,NP_001291271|NP_064516,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20912,4760,9001,110833,114480,-,-,NEUROD1,HAP1,BETA2|BHF-1|MODY6|NEUROD|bHLHa3,HAP2|HIP5|HLP|hHLP1,Two-hybrid,physical,Marcora E (2003),PUBMED:12881483,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q13562,-,NP_002491,P54257,-,NP_817084|NP_001073340|NP_001073339,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20917,9001,1639,114480,108007,-,-,HAP1,DCTN1,HAP2|HIP5|HLP|hHLP1,DAP-150|DP-150|P135,Two-hybrid,physical,Li SH (1998),PUBMED:9454836,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P54257,-,NP_817084|NP_001073340|NP_001073339,Q14203,Q6MZZ3,NP_075408|NP_004073|NP_001177766|NP_001177765|NP_001128513|NP_001128512|NP_001365921|NP_001365920,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20921,9001,9146,114480,114593,-,-,HAP1,HGS,HAP2|HIP5|HLP|hHLP1,HRS,Two-hybrid,physical,Li Y (2002),PUBMED:12021262,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P54257,-,NP_817084|NP_001073340|NP_001073339,O14964,-,NP_004703,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20975,1315,22820,107710,116496,MSTP026,-,COPB1,COPG1,COPB,COPG,Two-hybrid,physical,Futatsumori M (2000),PUBMED:11056392,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P53618,-,NP_001137533|NP_057535|NP_001137534,Q9Y678,-,NP_057212,-,-,-,-,-,-,Homo sapiens,Homo sapiens
20982,1315,26958,107710,117926,MSTP026,-,COPB1,COPG2,COPB,2-COP|gamma-2-COP,Two-hybrid,physical,Takatsu H (2001),PUBMED:11409905,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P53618,-,NP_001137533|NP_057535|NP_001137534,Q9UBF2,Q9NSM7,NP_001276962|NP_036265,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21004,4646,1601,110730,107971,RP3-472A9.1,-,MYO6,DAB2,DFNA22|DFNB37,DOC-2|DOC2,Two-hybrid,physical,Morris SM (2002),PUBMED:11967127,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9UM54,-,NP_001355795|NP_001355794|NP_004990|NP_001287828|NP_001355069|NP_001355068|NP_001355067|NP_001355066|NP_001355065,P98082,A0A024R036|B2RAW0,NP_001231800|NP_001334,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21005,4646,1601,110730,107971,RP3-472A9.1,-,MYO6,DAB2,DFNA22|DFNB37,DOC-2|DOC2,Two-hybrid,physical,Inoue A (2002),PUBMED:11906161,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9UM54,-,NP_001355795|NP_001355794|NP_004990|NP_001287828|NP_001355069|NP_001355068|NP_001355067|NP_001355066|NP_001355065,P98082,A0A024R036|B2RAW0,NP_001231800|NP_001334,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21059,55802,4089,120914,110264,-,-,DCP1A,SMAD4,HSA275986|Nbla00360|SMAD4IP1|SMIF,DPC4|JIP|MADH4|MYHRS,Two-hybrid,physical,Bai RY (2002),PUBMED:11836524,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9NPI6,-,NP_001277133|NP_060873|NP_001277136|NP_001277134|NP_001277135,Q13485,A0A024R274,NP_005350,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21122,2186,4150,108481,110320,-,-,BPTF,MAZ,FAC1|FALZ|NURF301,PUR1|Pur-1|SAF-1|SAF-2|SAF-3|ZF87|ZNF801|Zif87,Two-hybrid,physical,Jordan-Sciutto KL (2000),PUBMED:10727212,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q12830,-,NP_872579|NP_004450,P56270,Q59GP8,NP_002374|NP_001263205|NP_001263204|NP_001036004,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21167,50848,7082,119153,112937,RP11-544M22.2,-,F11R,TJP1,CD321|JAM|JAM1|JAMA|JCAM|KAT|PAM-1,ZO-1,Two-hybrid,physical,Ebnet K (2000),PUBMED:10856295,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9Y624,Q6FIB4,NP_001369659|NP_001369662|NP_001369663|NP_001369656|NP_001335020|NP_058642,Q07157,G5E9E7|A9CQZ8|G3V1L9|Q6MZU1|B4DZK4,NP_001287955|NP_001287954|NP_001341941|NP_001341943|NP_001341942|NP_001341944|NP_001317168|NP_783297|NP_003248,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21198,6868,1739,112731,108083,-,-,ADAM17,DLG1,ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE,DLGH1|SAP-97|SAP97|dJ1061C18.1.1|hdlg,Two-hybrid,physical,Peiretti F (2003),PUBMED:12668732,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P78536,B2RNB2,NP_003174,Q12959,B4DF78,NP_004078|NP_001091894|NP_001350794|NP_001353151|NP_001353150|NP_001191317|NP_001191316|NP_001191315|NP_001353137|NP_001353136|NP_001353135|NP_001353134|NP_001353133|NP_001353132|NP_001353139|NP_001353138|NP_001353146|NP_001353147|NP_001353144|NP_001353145|NP_001353142|NP_001353143|NP_001353140|NP_001353141|NP_001353148|NP_001353149|NP_001277912,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21218,79947,10577,123018,115828,RP3-476K8.2,-,DHDDS,NPC2,CIT|CPT|DS|HDS|RP59,EDDM1|HE1,Two-hybrid,physical,Kharel Y (2004),PUBMED:15110773,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q86SQ9,-,NP_079163|NP_001230494|NP_995583|NP_001306888|NP_001230493,P61916,G3V3E8|A0A024R6C0,NP_006423,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21354,9826,5364,115164,111377,RP11-356J7.2,-,ARHGEF11,PLXNB1,GTRAP48|PDZ-RHOGEF,PLEXIN-B1|PLXN5|SEP,Two-hybrid,physical,Perrot V (2002),PUBMED:12183458,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O15085,-,NP_055599|NP_937879|NP_001364348|NP_001364347,O43157,-,NP_001123554|NP_002664,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21364,666,597,107134,107069,-,-,BOK,BCL2A1,BCL2L9|BOKL,ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1,Two-hybrid,physical,Hsu SY (1997),PUBMED:9356461,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9UMX3,A0A024R4A8,NP_115904,Q16548,-,NP_004040|NP_001108207,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21370,597,572,107069,107048,-,-,BCL2A1,BAD,ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1,BBC2|BCL2L8,Two-hybrid,physical,Bae J (2001),PUBMED:11483855,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q16548,-,NP_004040|NP_001108207,Q92934,A0A024R562,NP_004313|NP_116784,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21387,11157,6633,116328,112517,-,-,LSM6,SNRPD2,YDR378C,SMD2|SNRPD1|Sm-D2,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,P62312,-,NP_009011,P62316,-,NP_808210|NP_001356680|NP_001356681|NP_001371576|NP_004588,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21397,51690,6634,119678,112518,-,-,LSM7,SNRPD3,YNL147W,SMD3|Sm-D3,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,Q9UK45,-,NP_057283,P62318,-,NP_004166|NP_001265585,-,-,-,-,-,-,Homo sapiens,Homo sapiens
21404,27258,6634,118105,112518,MDS017,-,LSM3,SNRPD3,SMX4|USS2|YLR438C,SMD3|Sm-D3,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,P62310,-,NP_055278,P62318,-,NP_004166|NP_001265585,-,-,-,-,-,-,Homo sapiens,Homo sapiens
